4ba3fd7bf964a520027538e3, 8, 55.758390049, 37.6227239593, Tommy D
4e8367426c25e5d40ba9c723, 8, 55.7581042122, 37.6241612434, Beverly Hills Diner
4f8a557ee4b09582a331d120, 6, 55.7582740363, 37.625527666, Бар 1920
4d67f272a88a6ea8d18ee972, 6, 55.7563598241, 37.6270835531, Old School Pub
4ddb8cfd1f6e9b46a125ccaf, 6, 55.756326, 37.632624, Колковна
4be299db2ff376b058314fed, 9, 55.7579472502, 37.6334738731, Пир О.Г.И. на Маросейке
4b575a9df964a5201f3328e3, 18, 55.7586143342, 37.6326692104, Пропаганда
4cb0c140db32f04d4ca7c24d, 14, 55.7547973525, 37.6343327491, China Town Cafe
4bda7fb7ffafd13adc0a9b85, 8, 55.7539022426, 37.6361882687, Люди как Люди
4b76c7bdf964a520a85e2ee3, 19, 55.7546750526, 37.6213502884, ГУМ
4bb3345942959c74d79d212c, 16, 55.7542644992, 37.6201915741, Красная площадь / Red Square
4c34ecc53ffc9521e60791f5, 10, 55.7559455102, 37.6156378453, Манежная площадь / Manezhnaya Sq.
4be82d4488ed2d7fde85cb1d, 19, 55.7558100895, 37.6146554947, ТЦ «Охотный ряд»
4bc8ee1a0687ef3bdff3d8cc, 8, 55.7555751282, 37.6157007237, Планета Суши
4f3b52bfe4b0ce0258fcafd4, 6, 55.757144, 37.616436, Starbucks
4f412b63e4b020398d5b9282, 7, 55.7574763604, 37.6178741455, Podium Market
4bc78f4193bdeee1708337ae, 7, 55.7573198501, 37.6131377116, The Ritz-Carlton Moscow
4e3676b71838f85189b125be, 9, 55.7587139431, 37.6112008095, ТоДаСё
4b86695ef964a520128931e3, 6, 55.7589297614, 37.6106992364, McDonald's
4bb21a69f964a52012b93ce3, 7, 55.7594398727, 37.6128222048, Академия
4c87a583b504a1436026b81c, 24, 55.7599514865, 37.6138615608, Камергерский переулок
4c1db5ebb9f876b057247e46, 8, 55.7604555478, 37.6146072149, Хлеб насущный
4c1f3d338b3aa5930b249d5f, 8, 55.760385, 37.614624, mr. Шашлыкофф
4bbc8b87e5b0d13af2586f7c, 8, 55.7603257602, 37.6151704788, Ketama Bar
4bd173a4a8b3a59372ba655f, 7, 55.7601929538, 37.6141297817, Две палочки
4c22330734faef3bab96586d, 6, 55.7599152663, 37.6139473915, Starbucks
4b9d3de4f964a520839c36e3, 6, 55.7627343066, 37.6141673326, Denis Simachёv Shop & Bar
