timestamp, latitude, longitude
1337596661, 55.727686, 37.607007
1337592245, 55.7275450911, 37.6121234894
1337583646, 55.7278130177, 37.6066308251
1337582804, 55.727686, 37.607007
1337549858, 55.793524, 37.579587
1337547442, 55.7628210891, 37.5885973657
1337543905, 55.7750934276, 37.5852443292
1337538354, 55.7246746943, 37.5936824201
1337524163, 55.7281250916, 37.6012229919
1337521875, 55.7279317591, 37.6069307327
1337521852, 55.727686, 37.607007
1337516244, 55.7419522376, 37.6092523702
1337508998, 55.7403714579, 37.6092078774
1337508506, 55.7406564357, 37.6090550423
1337438145, 55.793524, 37.579587
1337432172, 55.8044346914, 37.5821042061
1337382518, 55.793524, 37.579587
1337381816, 55.7917217667, 37.5837596775
1337380834, 55.7529004866, 37.5909029164
1337376742, 55.729315274, 37.6163452864
1337355142, 55.7278130177, 37.6066308251
1337354611, 55.727686, 37.607007
1337340067, 55.727684, 37.606855
1337327079, 55.727686, 37.607007
1337327047, 55.7275950484, 37.6070541941
1337325185, 55.7928135066, 37.5876617432
1337279167, 55.793524, 37.579587
1337273419, 55.709121, 37.622734
1337265908, 55.727686, 37.607007
1337255708, 55.727684, 37.606855
1337251521, 55.727686, 37.607007
1337247751, 55.731616996, 37.6118981838
1337239633, 55.727686, 37.607007
1337239598, 55.7275950484, 37.6070541941
1337200359, 55.793524, 37.579587
1337188797, 55.7285648867, 37.5980143506
1337188745, 55.7281704447, 37.5987584593
1337188715, 55.7304487873, 37.6024909826
1337188295, 55.7281250916, 37.6012229919
1337187005, 55.7279317591, 37.6069307327
1337184022, 55.727684, 37.606855
1337165608, 55.727686, 37.607007
1337162887, 55.7300240806, 37.5996091558
1337162341, 55.7281250916, 37.6012229919
1337149493, 55.727686, 37.607007
1337112161, 55.793524, 37.579587
1337094531, 55.7406564357, 37.6090550423
1337094517, 55.7403714579, 37.6092078774
1337080272, 55.727684, 37.606855
1337080255, 55.727686, 37.607007
1337068030, 55.727686, 37.607007
1337068012, 55.7275950484, 37.6070541941
1337020429, 55.793524, 37.579587
1337008192, 55.727686, 37.607007
1336999791, 55.727684, 37.606855
1336996106, 55.727686, 37.607007
1336990835, 55.7250407498, 37.6059152857
1336980429, 55.727686, 37.607007
1336977430, 55.7925929929, 37.6009737703
1336923787, 55.793524, 37.579587
1336913990, 55.7403714579, 37.6092078774
1336913969, 55.7406564357, 37.6090550423
1336907163, 55.74047859, 37.607478
1336901450, 55.7403714579, 37.6092078774
1336901437, 55.7406564357, 37.6090550423
1336896954, 55.74110657, 37.6085909211
1336854598, 55.729315274, 37.6163452864
1336840994, 55.727838, 37.607225
1336828105, 55.727684, 37.606855
1336825296, 55.727686, 37.607007
1336820366, 55.7281250916, 37.6012229919
1336809945, 55.7277203005, 37.6068556309
1336809924, 55.727686, 37.607007
1336766323, 55.793524, 37.579587
1336755754, 55.793787, 37.576877
1336748836, 55.727684, 37.606855
1336739395, 55.727686, 37.607007
1336731618, 55.7281250916, 37.6012229919
1336721911, 55.727686, 37.607007
1336677047, 55.793524, 37.579587
1336663186, 55.7403714579, 37.6092078774
1336663173, 55.7406564357, 37.6090550423
1336655629, 55.727684, 37.606855
1336647396, 55.727686, 37.607007
1336642193, 55.7275450911, 37.6121234894
1336636580, 55.727686, 37.607007
1336636562, 55.7275950484, 37.6070541941
1336605284, 55.793524, 37.579587
1336559393, 55.7471093442, 37.5462430051
1336523986, 55.793524, 37.579587
1336508082, 55.1436401953, 33.2657538305
1336475982, 53.8999678575, 27.5617231968
1336294924, 53.8998375507, 27.5621652603
1336294330, 53.8998375507, 27.5621652603
1336287559, 53.901759, 27.56609
1336244259, 53.9104136852, 27.5760493735
1336222951, 53.901759, 27.56609
1336204056, 53.8998375507, 27.5621652603
1336182182, 55.0926513789, 32.8402831803
1336153635, 55.7635394673, 37.5401413971
1336056332, 55.793524, 37.579587
1336043278, 55.7446454457, 37.5660431385
1336042773, 55.7047004599, 37.4793960539
1336029912, 54.5348534129, 36.279001236
1336029870, 54.5315650701, 36.2713846405
1336024487, 54.5091059791, 36.252880803
1336017613, 54.5072835801, 36.2540421059
1335985055, 54.0529514099, 35.9608547614
1335984989, 54.033607, 35.794765
1335946098, 54.08093, 35.846022
1335812749, 54.0529514099, 35.9608547614
1335795629, 54.08093, 35.846022
1335787248, 54.5348534129, 36.279001236
1335782578, 55.0890054346, 36.6246581404
1335771679, 55.616073, 37.510662
1335771655, 55.6184421017, 37.5068130318
1335735636, 55.793524, 37.579587
